"Offense","Count"
"SEXUAL ASSAULT 2ND DEGREE OF A CHILD",2
"SEXUAL ASSAULT ON A CHILD BY ONE IN A POSITION OF TRUST",2
"SEXUAL CONDUCT 3RD DEGREE",2
"SEXUAL CONTACT WITH MINOR",2
"SEXUAL INTERCOURSE WITH A MINOR",2
"SEXUAL INTERCOURSE WITHOUT CONSENT",2
"SEXUAL PENETRATION WITH FOREIGN OBJECT",2
"SEXUAL PERFORMANCE BY A CHILD",2
"SEXUALLY MOTIVATED ASSAULT",2
"SODOMY OF A CHILD",2
"SOLICITATION OF A MINOR",2
"TRANSPORTATION OF CHILD PORNOGRAPHY",2
"TRAVEL WITH INTENT TO ENGAGE IN ILLICIT SEXUAL CONDUCT",2
"UNLAWFUL RESTRAINT",2
"UNLAWFUL SEXUAL ACTIVITY WITH A MINOR",2
"UNLAWFUL SEXUAL CONTACT 3RD DEGREE",2
"VIOLATION OF A MINOR",2
"VIOLATION OF MINOR 2ND DEGREE",2
"1995 RAPE",1
"1ST DEGREE SEXUAL ABUSE",1
"2ND DEGREE CHILD SEXUAL ABUSE",1
"2ND DEGREE RAPE",1
"2ND DEGREE SEXUAL ABUSE",1
"3RD DEGREE CHILD MOLESTATION CONSENSTUAL SEX WITH SAID VICTIM",1
"3RD DEGREE SEXUAL ABUSE",1
"4TH DEGREE CRIMINAL SEXUAL CONTACT",1
"5 COUNTS OF CHILD PORNOGRAPHY",1
"8 COUNTS UNLAWFUL VIDEOTAPING OF A MINOR",1
"ABUSE CHILD-PROHIBITED SEX ACT",1
"ABUSIVE SEXUAL CONDUCT",1
"ACCEDING TO CORRUPTION BY PUBLIC SERVANT",1
"ACCESSORY ENDNG WELFARE OF CHILD-2ND DEGREE",1
"ACCESSORY RAPE",1
"ACCESSORY SODOMY",1
"ACCESSORY SODOMY - PHYS INJ/WEAPON",1
"ACCOST/ENTICE CHILD IMMORAL PURPOSES",1
"AGG CRIM SEX ABUSE/ VIC 13-16",1
"AGG CRIM SEX ABUSE/VIC 13-16",1
"AGG CRIM SEX ASSLT",1
"AGG CRIM SEXUAL ASSAULT",1
"AGG CRIMINAL SEXUAL ABUSE",1
"AGG CRIMINAL SEXUAL ASSAULT",1
"AGG CRIMINAL SODOMY W/ CHILD FONDLING AND ORAL SEX W/ 7 DIFFERENT VICTIMS",1
"AGG CRIMINAL SODOMY W/ CHILD FONDLING AND ORAL SEX W/ 7DIFFERENT VICTIMS",1
"AGG INDECENT LIB WITH CHILD LESS THAN 14;FONDLING",1
"AGG INDECENT LIBERTIES W/ CHILD ENGAGED IN SEXUAL INTERCOURSE W/ MINOR",1
"AGG INDECENT SOLICITATION OF A CHILD",1
"AGG SEXUAL ABUSE",1
"AGG SEXUAL ASSAULT",1
"AGG SEXUAL ASSAULT CHILD",1
"AGG SEXUAL ASSAULT OF A CHILD",1
"AGG SEXUAL BATTERY",1
"AGGERVATED SEX ABUSE",1
"AGGR SEXUAL ASSAULT/SEXUAL ABUSE",1
"AGGRAVATED ASSAULT WITH INTENT TO RAPE",1
"AGGRAVATED BATTERY",1
"AGGRAVATED CRIMIAL SEXUAL ABUSE 6 COUNTS, SEXUAL ABUSE 2 COUNTS, INDECENT SOLICIATION OF A CHILD 1 C",1
"AGGRAVATED CRIMINAL SEX ABUSE W/ VICTIM 13-16",1
"AGGRAVATED CRIMINAL SEX ABUSE/ VIC 13-16",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE OF A CHILD UNDER 13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE VICTIM 13-16",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE VICTIM B/T 13-16",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE VICTIM UNDER 13",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE W/ A WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE WITH CHILD",1
"AGGRAVATED CRIMINAL SEXUAL ABUSE/VICTIM 13-16",1
"AGGRAVATED CRIMINAL SEXUAL ASSALT",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT WITH A WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT/BODILY HARM",1
"AGGRAVATED CRIMINAL SEXUAL ASSAULT/WEAPON",1
"AGGRAVATED CRIMINAL SEXUAL CONDUCT 2ND DEGREE",1
"AGGRAVATED CRIMINAL SEXUAL FELONY ASSAULT",1
"AGGRAVATED CRIMINAL SODOMY W/CHILD",1
"AGGRAVATED CRIMINAL SODOMY W/CHILD <14",1
"AGGRAVATED CRIMINAL SODOMY WITH AN ANIMAL",1
"AGGRAVATED CRIMINAL SODOMY; SODOMY W/ A CHILD <14",1
"AGGRAVATED CRIMNAL SEX ABUSE",1
"AGGRAVATED CRIMNAL SEXUAL ABUSE",1
"AGGRAVATED EXPLOITATION OF A MINOR",1
"AGGRAVATED INAPPROPRIATE SOLICITATION OF CHILD",1
"AGGRAVATED INDECENT LIBERTIES GE 14 LESS THAN 16",1
"AGGRAVATED INDECENT LIBERTIES OF A MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/ A MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/ MINOR",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD; <14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD;<14 YOA; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD;<14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/CHILD<14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES W/MINOR (ATTEMPT)",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD LESS THAN 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD UNDER 14; LEWD FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD UNDER 14; LEWD/FONDLING/TOUCHING",1
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD UNDER 16",1
"AGGRAVATED INDECENT LIBERTIES WITH A MINOR CHILD",1
"AGGRAVATED INDECENT LIBERTIES WITH MINOR",1
"AGGRAVATED INDECENT LIBERTIES/SOLICITATION",1
"AGGRAVATED INDECENT LIBERTIES/SOLICITATION OF CHILD",1
"AGGRAVATED INDECENT SOLICIATION WITH A CHILD",1
"AGGRAVATED INDECENT SOLICITATION CHILD",1
"AGGRAVATED INDECENT SOLICITATION OF A CHILD LESS THAN 14",1
"AGGRAVATED INDECENT SOLICITATION OF A CHILD UNDER 18",1
"AGGRAVATED KIDNAPPING",1
"AGGRAVATED RAPE;USE OF A MINOR FOR OBSCENE PURPOSES",1
"AGGRAVATED SEXUAL ASSAULT- INDECENCY WITH A CHILD",1
"AGGRAVATED SEXUAL ASSAULT 1ST DEGREE",1
"AGGRAVATED SEXUAL ASSAULT OF MINOR",1
"AGGRAVATED SEXUAL ASSAULT ON CHILD",1
"AGGRAVATED SEXUAL ASSAULT WITH A CHILD",1
"AGGRAVATED SEXUAL ASSAULT/SEXUAL ABUSE",1
"AGGRAVATED SEXUAL ASSUALT OF A CHILD",1
"AGGRAVATED SEXUAL EXPLOITATION OF MINOR",1
"AGGRAVATED SEXUAL EXPLORITATION OF A MINOR",1
"AGGRAVATED STATUTORY RAPE",1
"AGGREVATED INDECENT SOLICIATION OF A MINOR",1
"AGGREVATED INDECENT SOLICITATION OF A CHILD",1
"AGGREVATED SEXUAL BATTERY",1
"ANAL & GENITAL PENETRATION BY FOREIGN OBJECT",1
"ANNOY OR MOLEST A CHILD",1
"ANNOY/MOLESTATION OF A CHILD",1
"ANNOYANCE OF A CHILD",1
"ANNOYING CHILD",1
"APPEMPTED INDECENT LIBERTIES WITH A CHILD",1
"ASSAULT 2ND DEGREE - SEXUAL MOTIVATED CRIME",1
"ASSAULT 3RD DEGREE - SEXUALLY MOTIVATED",1
"ASSAULT AND BATTERY ON MINOR",1
"ASSAULT OF CHILD/INDECENT EXPOSURE",1
"ASSAULT TO COMMIT SEXUAL ABUSE/NO INJURY",1
"ASSAULT TO COMMIT SEXUAL ACT",1
"ASSAULT W/INTENT TO COMMIT SEXUAL ABUSE 2ND DEGREE",1
"ASSAULT WITH INTENT FOR SEXUAL ABUSE",1
"ASSAULT WITH INTENT SEXUAL ABUSE",1
"ASSAULT WITH INTENT TO CAUSE HARM",1
"ASSAULT WITH INTENT TO COMMIT A FELONY",1
"ASSAULT WITH INTENT TO COMMIT SEXUAL ASSAULT",1
"ASSAULT WITH INTENT TO COMMIT SEXUAL PENETRATION",1
"ASSAULT WITH INTENT TO SEX ABUSE/NO INJUIRY",1
